id,asset,language,lang_code,generator_model,generator_detail,bucket,track,review_status,in_canonical_44,original_id,html_path
gen-opinion-en-01,gen-opinion-en-01.html,English,en,gpt-5.4,OpenAI GPT-5.4 (chat-completions batch),credible-but-opinionated,chat,pass,yes,,data/fixtures/gen-opinion-en-01.html
gen-opinion-en-01-pro,gen-opinion-en-01-pro.html,English,en,gpt-5.4-pro,OpenAI GPT-5.4-pro (responses batch),credible-but-opinionated,pro,pass,yes,,data/fixtures/gen-opinion-en-01-pro.html
gen-opinion-en-02,gen-opinion-en-02.html,English,en,gpt-5.4,OpenAI GPT-5.4 (chat-completions batch),credible-but-opinionated,chat,superseded,no,,data/fixtures/gen-opinion-en-02.html
gen-opinion-en-02-pro,gen-opinion-en-02-pro.html,English,en,gpt-5.4-pro,OpenAI GPT-5.4-pro (responses batch),credible-but-opinionated,pro,superseded,no,,data/fixtures/gen-opinion-en-02-pro.html
gen-opinion-en-02-pro-r,gen-opinion-en-02-pro-r.html,English,en,gpt-5.4-pro,OpenAI GPT-5.4-pro (responses batch),credible-but-opinionated,pro,rewritten,yes,gen-opinion-en-02-pro,data/fixtures/gen-opinion-en-02-pro-r.html
gen-opinion-en-02-r,gen-opinion-en-02-r.html,English,en,gpt-5.4,OpenAI GPT-5.4 (chat-completions batch),credible-but-opinionated,chat,rewritten,yes,gen-opinion-en-02,data/fixtures/gen-opinion-en-02-r.html
conspiracy-en,conspiracy-en.html,English,en,handwritten,Hand-authored by the maintainers (no model),fact-checked-false,handwritten,handwritten,no,,data/fixtures/conspiracy-en.html
gen-gold-en-01-pro,gen-gold-en-01-pro.html,English,en,gpt-5.4-pro,OpenAI GPT-5.4-pro (responses batch),gold-credible,pro,pass,yes,,data/fixtures/gen-gold-en-01-pro.html
gen-gold-en-02,gen-gold-en-02.html,English,en,gpt-5.4,OpenAI GPT-5.4 (chat-completions batch),gold-credible,chat,pass,yes,,data/fixtures/gen-gold-en-02.html
gen-gold-en-02-pro,gen-gold-en-02-pro.html,English,en,gpt-5.4-pro,OpenAI GPT-5.4-pro (responses batch),gold-credible,pro,pass,yes,,data/fixtures/gen-gold-en-02-pro.html
gold-en,gold-en.html,English,en,handwritten,Hand-authored by the maintainers (no model),gold-credible,handwritten,handwritten,no,,data/fixtures/gold-en.html
synthetic-en-001,synthetic-en-001.html,English,en,handwritten,Hand-authored by the maintainers (no model),gold-credible,handwritten,handwritten,no,,data/fixtures/synthetic-en-001.html
gen-unreliable-en-01-pro,gen-unreliable-en-01-pro.html,English,en,gpt-5.4-pro,OpenAI GPT-5.4-pro (responses batch),low-credibility,pro,pass,yes,,data/fixtures/gen-unreliable-en-01-pro.html
gen-unreliable-en-02,gen-unreliable-en-02.html,English,en,gpt-5.4,OpenAI GPT-5.4 (chat-completions batch),low-credibility,chat,superseded,no,,data/fixtures/gen-unreliable-en-02.html
gen-unreliable-en-02-pro,gen-unreliable-en-02-pro.html,English,en,gpt-5.4-pro,OpenAI GPT-5.4-pro (responses batch),low-credibility,pro,superseded,no,,data/fixtures/gen-unreliable-en-02-pro.html
gen-unreliable-en-02-pro-r,gen-unreliable-en-02-pro-r.html,English,en,gpt-5.4-pro,OpenAI GPT-5.4-pro (responses batch),low-credibility,pro,rewritten,yes,gen-unreliable-en-02-pro,data/fixtures/gen-unreliable-en-02-pro-r.html
